id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
6123863,"Stylish Remodeled House With Deck, Steps To Dining",9072515,Jessica,Not Specified,West University Heights,32.75992,-117.14292,Entire Home/Apt,$215.00,2,28,12/7/2020,0.44,1,300,San Diego
33341740,"Lux420, Rftop Deck, Hot Tub, Elvtr In Of Denver",111000374,Elma,Not Specified,Five Points,39.75436,-104.98469,Entire Home/Apt,$599.00,30,35,12/29/2019,2.42,3,362,Denver
21784725,Large Pool House In Hollywood New Pool Deck,158736535,Euseb,Not Specified,Hollywood,26.016,-80.23088,Entire Home/Apt,$214.00,2,10,2/17/2020,0.36,1,331,Broward County
30562982,"Modern 2 Br House In Hollywood, Keyless Entry!",134940933,Jonathan,City Of Los Angeles,Hollywood Hills,34.11915,-118.32028,Entire Home/Apt,$290.00,30,0,,0,1,0,Los Angeles
41833198,New Renovated House - Hard Rock / Hollywood Beach,120149672,Yaseen,Not Specified,Hollywood,26.01587,-80.23007,Entire Home/Apt,$250.00,2,10,4/28/2020,2.16,1,15,Broward County
14819644,1Br Suite Wyndham Grand Desert,92639159,James,Not Specified,Unincorporated Areas,36.10858,-115.1621,Entire Home/Apt,$313.00,2,1,11/29/2016,0.02,1,89,Clark County
16084484,1 Bedroom Downtown - Great For Business Family,266855,Gayle,Not Specified,Palo Alto,37.44526,-122.15469,Entire Home/Apt,$185.00,30,106,2/28/2020,2.46,1,280,San Clara Country
24659161,Cozy Room In Castro/Duboce Triangle!,4335499,Manana,Not Specified,Castro/Upper Market,37.76655,-122.4346,Private Room,$45.00,30,0,,0,1,319,San Francisco
39790382,Modern Loft/ Minutes From The Airport,101553583,Sally,Not Specified,District 13,36.14729,-86.64071,Entire Home/Apt,$175.00,2,5,6/22/2020,0.6,1,159,Nashville
32338786,Discovery Bay 2712,74079684,Marina,Honolulu,Primary Urban Center,21.28495,-157.83874,Entire Home/Apt,$113.00,1,0,,0,189,258,Hawaii
