city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
New York City,"$77,144,331.00",66.79%,1999,,,10000,"$448,569,328.00",$226.75,56.36%,122.8948059,45.21%,,,,,,,104309976,Wanderjaunt,"$15,504,490.00",8,74.83%,,,,
Los Angeles,"$51,391,760.00",52.52%,1384,,,,,,,,,,,,,,,51017586,Rentals Maui,"$9,412,101.00",8,60.13%,,,,
Hawaii,"$47,621,432.00",37.96%,976,,,,,,,,,,,,,,,262211596,Kevin,"$7,571,520.00",5,99.68%,,,,
Twin Cities Msa,"$38,897,792.00",62.15%,260,,,host_type,COUNTA of id,,,,,,,,,,,107293305,Elite Pacific,"$4,212,170.00",9,43.49%,,,,
San Diego,"$38,094,091.00",61.14%,545,,,Commercial Operator,14.52%,,,,,,,,,,,11026279,Chris And Brynn,"$3,679,014.00",2,94.65%,,,,
Austin,"$24,906,788.00",67.82%,478,,,Individual,45.21%,,,,,,,,,,,315782577,Chris,"$3,650,000.00",1,100.00%,,,,
San Francisco,"$23,106,435.00",58.54%,313,,,Professional,12.84%,,,,,,,,,,,169045593,Ann,"$3,650,000.00",1,100.00%,,,,
Broward County,"$19,598,169.00",44.69%,465,,,Small Operator,27.43%,,,,,,,,,,,64053314,Abby,"$3,650,000.00",1,100.00%,,,,
Seattle,"$15,543,493.00",64.48%,277,,,,,,,,,,,,,,,212484716,Aka Tribeca,"$3,649,635.00",1,100.00%,,,,0.122
Washington D.C.,"$12,111,051.00",59.18%,334,,,host_type,COUNTA of id,AVERAGE of estimated_annual_revenue,AVERAGE of occupancy_rate,AVERAGE of price,AVERAGE of host_performance_score,,,,,,,176952168,Aka,"$3,649,635.00",1,100.00%,,,,
Clark County,"$11,466,390.00",49.29%,349,,,Commercial Operator,1452,"$58,457.63",39.06%,$327.63,0.42,,,,,,,35955223,Tom,"$3,649,635.00",1,100.00%,,,,
San Clara Country,"$10,824,545.00",55.92%,337,,,Individual,4521,"$49,115.66",67.31%,$213.14,68.50,,,,,,,72933825,The Maimon Group,"$2,204,784.00",2,82.75%,,,,
Denver,"$9,782,111.00",67.43%,184,,,Professional,1284,"$38,587.94",44.79%,$224.18,6.38,,,,,,,159145956,Stephanie,"$2,071,740.00",2,100.00%,,,,
New Orleans,"$9,033,545.00",49.33%,317,,,Small Operator,2743,"$33,572.75",52.88%,$196.98,34.95,,,,,,,162299538,Matthew,"$2,062,500.00",1,75.30%,,,,
Nashville,"$8,975,016.00",49.34%,290,,,,,,,,,,,,,,,1647296,David,"$2,040,000.00",1,55.90%,,,,
Rhode Island,"$8,396,647.00",58.27%,169,,,price_category,AVERAGE of occupancy_rate,,,,,,,,,,,115196684,Richard,"$1,996,536.00",2,56.60%,,,,
Chicago,"$7,689,525.00",50.97%,302,,,Average,55.87%,,,,,,,,,,,8534462,Barsala,"$1,816,613.00",26,87.17%,,,,
Portland,"$5,241,517.00",58.79%,163,,,Budget,57.87%,,,,,,,,,,,70195733,Destination Residences,"$1,668,340.00",8,88.09%,,,,
Boston,"$5,212,364.00",49.74%,166,,,Premium,51.47%,,,,,,,,,,,158769329,Phil,"$1,642,500.00",1,100.00%,,,,
Oakland,"$4,934,966.00",66.60%,143,,,,,,,,,,,,,,,48005494,Zeus,"$1,462,975.00",60,50.71%,,,,
San Mateo County,"$4,320,529.00",55.98%,117,,,,,,,,,,,,,,,62111148,Stephanie,"$1,460,000.00",1,100.00%,,,,
Santa Cruz County,"$4,133,086.00",67.52%,76,,,,,,,,,,,,,,,107434423,Blueground,"$1,312,235.00",57,31.65%,,,,
Jersey City,"$3,854,534.00",50.27%,137,,,minimum_nights_bucket,COUNTA of id,AVERAGE of estimated_annual_revenue,,,,,,,,,,23422678,Sunha,"$1,295,000.00",1,50.70%,,,,
Asheville,"$2,437,466.00",49.93%,95,,,1 Night,2709,"$43,847.60",,,,,,,,,,272552822,Ruth,"$1,291,404.00",1,75.60%,,,,
Columbus,"$1,744,248.00",55.96%,60,,,181+ Nights,21,"$123,858.19",,,,,,,,,,8758182,Gretchen,"$1,277,500.00",1,100.00%,,,,
Cambridge,"$1,608,489.00",65.87%,47,,,2–3 Nights,3820,"$49,842.89",,,,,,,,,,146035240,Private Homes Hawaii,"$1,100,473.00",3,26.93%,,,,
Pacific Grove,"$307,057.00",45.84%,9,,,31–90 Nights,273,"$25,730.63",,,,,,,,,,85736711,Jesse,"$1,095,000.00",1,100.00%,,,,
Salem,"$191,951.00",65.11%,8,,,4–7 Nights,1229,"$54,502.16",,,,,,,,,,31113372,Mary,"$1,095,000.00",1,100.00%,,,,
,,,,,,8–30 Nights,1845,"$32,014.75",,,,,,,,,,135437259,Dan Lucy,"$1,094,635.00",1,100.00%,,,,
,,,,,,91–180 Nights,103,"$36,024.02",,,,,,,,,,12018637,888,"$1,040,094.00",9,83.80%,,,,
,,,,,,,,,,,,,,,,,,195640172,Michelle,"$1,026,600.00",1,97.00%,,,,
room_type,AVERAGE of estimated_annual_revenue,AVERAGE of occupancy_rate,AVERAGE of number_of_reviews,AVERAGE of minimum_nights,COUNTA of id,,id,room_type,price_category,MAX of occupancy_rate,MAX of estimated_annual_revenue,MAX of demand_score,,,,,,61304968,Alii Resorts,"$929,533.00",10,71.00%,,,,
Entire Home/Apt,"$53,925.18",54.46%,35.20873004,10.44616962,6827,,40685670,Shared Room,Premium,100.00%,"$3,650,000.00",15.12,,,,,,166214963,Maria,"$912,500.00",1,100.00%,,,,
Hotel Room,"$46,802.29",45.93%,24.98630137,2.397260274,73,,20071084,Entire Home/Apt,Premium,100.00%,"$3,650,000.00",15.04,,,,,,891789,Lisa,"$912,500.00",1,100.00%,,,,
