id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
35377444,'Lake Life - 3/2 Lake House With Water front Bar',238050979,Idan,?,'Dania Beach',26.05367,-80.17475,'Entire home/apt',225,1,29,15/06/20,2.49,7,333,'Broward County',,,,,,,,,,
8231382,'*** Sunny Studio *** near Airport  Train stop',23777641,Gavin,?,'East Boston',42.37594,-71.03634,'Entire home/apt',59,60,152,02/03/20,2.61,2,17,Boston,,,,,,,,,,
30826680,'Little Village Loft',79010967,Javier,?,'South Lawndale',41.84533,-87.70855,'Entire home/apt',175,1,0,?,?,4,49,Chicago,,,,,,,,,,
37142836,'2 Bedroom Unit For Long-term Stay',200838921,Francis,?,Avondale,41.9335,-87.72312,'Entire home/apt',65,3,3,08/07/20,0.22,3,20,Chicago,,,,,,,,,,
32719790,'Cozy Southeast Room',25144675,Chris,?,78744,30.19957,-97.73386,'Private room',42,1,32,17/11/19,1.71,1,0,Austin,,,,,,,,,,
9990556,'Coconut Condos - Professionally Cleaned Lahaina Condo Aina Nalu D204',51013381,'Coconut Condos',Maui,Lahaina,20.87538,-156.67617,'Entire home/apt',152,3,5,03/05/16,0.07,51,0,Hawaii,,,,,,,,,,
5480285,'Central, laid back,  convenient :)',24483378,Sarah,?,'West Colfax',39.73608,-105.03886,'Private room',30,1,312,14/06/20,4.92,12,353,Denver,,,,,,,,
30506108,'Small Co-Ed Dormitory',219743622,'Waikiki Beachside',Honolulu,'Primary Urban Center',21.27213,-157.82069,'Shared room',39,1,120,20/03/20,5.92,9,1,Hawaii,,,,,,,,,,
40942733,'sleeps 24.Compound GuestHouse 3700ft- 3 day min',1010655,Simon,?,'Unincorporated Areas',36.08869,-115.10119,'Entire home/apt',1556,3,7,02/08/20,0.95,7,365,'Clark County',,,,,,,,,,
36802123,'Large Ocean Front Studio',71195421,Erica,?,Hollywood,26.007,-80.11781,'Entire home/apt',99,2,19,22/03/20,1.83,4,103,'Broward County',,,,,,,,,,
21561550,'OCEAN VIEW STUNNING APARTMENT',156784555,Quentin,?,'Hallandale Beach',25.98594,-80.11915,'Entire home/apt',535,1,7,10/11/19,0.23,3,178,'Broward County',,,,,,,,,,
23412701,'NYE Party Hostel for up to 10ppl',44618537,Robert,?,'Lincoln Park',41.93112,-87.64546,'Shared room',38,1,51,19/07/20,1.66,4,90,Chicago,,,,,,,,,,
8206536,'Centrally located Studio in the SouthEnd,25',22348222,Maverick,?,'South End',42.34441,-71.07633,'Entire home/apt',79,1,136,25/08/20,3.26,55,251,Boston,,,,,,,,,
31039499,'Kona Isle D1',156331964,'Grand Welcome',Hawaii,'North Kona',19.61672,-155.98253,'Entire home/apt',122,1,8,26/11/19,0.4,103,283,Hawaii,,,,,,,,,,
32989916,'Sheridan Park Place',30063747,Micah,?,Uptown,41.96961,-87.66308,'Entire home/apt',240,30,1,23/06/19,0.07,1,268,Chicago,,,,,,,,,,
35126901,'WONDERFUL Condo*Directly Across from Beach!!!',5786717,Viktoria,Maui,Kihei-Makena,20.7655,-156.45678,'Entire home/apt',289,3,19,14/03/20,1.23,83,0,Hawaii,,,,,,,,,,
18106336,'East Austin home with outdoor Paradise!',88732087,Adam,?,78702,30.26648,-97.72036,'Entire home/apt',200,2,82,10/03/20,2.1,1,0,Austin,,,,,,,,,,
17686350,'Vintage Hawaiian get away 2',68957698,Tiare,Honolulu,Koolaupoko,21.40353,-157.78393,'Private room',81,30,7,03/03/20,0.38,2,269,Hawaii,,,,,,,,,,
21191923,"'\""Luxury Apt\"" Room for Rent Downtown Area'",27421002,Sam,?,78704,30.25496,-97.74665,'Private room',245,1,0,?,?,2,0,Austin,,,,,,,,,,
31843331,'Downtown Chic Apartment,2 Blocks to Pack Square!',149601167,'TurnKey Vacation Rentals',?,28801,35.59378,-82.55439,'Entire home/apt',207,2,11,03/11/19,0.6,26,336,Asheville,,,,,,,,,
41937470,'Private Guest Suite/Dog Friendly/Hot Tub Oasis',73821714,Whit/Lindsay,?,'West Colfax',39.74166,-105.03392,'Entire home/apt',182,2,4,19/03/20,0.89,1,270,Denver,,,,,,,,,,
34595529,'2 Bedroom Grand Desert',62937395,Tara,?,'Unincorporated Areas',36.12997,-115.13175,'Private room',265,3,0,?,?,4,364,'Clark County',,,,,,,,,,
43921948,'Beautiful 2bedroom/2bathroom condo on vegas strip',179649758,Joshua,?,'Unincorporated Areas',36.14097,-115.15997,'Entire home/apt',425,2,0,?,?,1,365,'Clark County',,,,,,,,,,
32338864,'Ilikai Tower 1402',74079684,Marina,Honolulu,'Primary Urban Center',21.28392,-157.83871,'Entire home/apt',161,1,0,?,?,189,232,Hawaii,,,,,,,,,,
29625457,'Apartment 103 Studio with Garden and Pool Views',7974042,Russel,?,Unincorporated,26.13251,-80.17896,'Entire home/apt',150,1,1,28/12/19,0.17,11,317,'Broward County',,,,,,,,,,
38412675,'2-4 ALLSTON 3 Mins to Green Line T',218525774,Turana,?,Allston,42.34926,-71.13483,'Private room',35,1,0,?,?,9,0,Boston,,,,,,,,,,
35934154,'Perfect Location Near Airport  Vegas Strip',270278773,Sergio,?,'Unincorporated Areas',36.11262,-115.14254,'Entire home/apt',97,1,52,17/08/20,3.64,4,154,'Clark County',,,,,,,,,,
36875772,'Modern Artists Loft in Downtown Hollywood',273333700,Tiffany,?,Hollywood,26.01769,-80.1601,'Entire home/apt',200,2,12,14/03/20,1.14,3,358,'Broward County',,,,,,,,,,
22358912,"'\""Ocean Room\""", house with pool and a dog, NW',104123315,Alona,?,'Unincorporated Areas',36.24289,-115.27314,'Private room',65,2,42,29/03/20,1.29,1,15,'Clark County',,,,,,,,
10874898,'Lakeview/Boystown 1 Bedroom, walk to Wrigley Field',14898769,Olivia,?,'Lake View',41.94073,-87.64822,'Entire home/apt',200,2,3,04/01/20,0.08,1,20,Chicago,,,,,,,,,
25691658,'2Bed10 Meters from Harvard Law School! Big  New!',45224133,Clare,?,Agassiz,42.38071,-71.11896,'Entire home/apt',264,91,0,?,?,4,89,Cambridge,,,,,,,,,,
18982499,'Modern Coastal Beach Condo + FREE Parking!',40164778,Eddie,Honolulu,'Primary Urban Center',21.28562,-157.8398,'Entire home/apt',177,3,110,27/08/20,2.79,2,111,Hawaii,,,,,,,,,,
37840842,Entire1,84799963,Murat,?,Brighton,42.35646,-71.16429,'Entire home/apt',99,91,0,?,?,6,365,Boston,,,,,,,,,,
40466690,'Maui Paradise,1 bedroom,2 bath,2 balcony',146324433,Cory,Maui,Lahaina,20.91487,-156.6957,'Private room',500,3,1,12/03/20,0.16,1,0,Hawaii,,,,,,,
42431811,'Spectacular 1 bed in the Heart of downtown Boston',268297142,Sardar,?,Downtown,42.35337,-71.06302,'Entire home/apt',250,1,0,?,?,1,89,Boston,,,,,,,,,,
29334562,'Chinese Warrior in Ko\'Olina Kai',217269877,Mike,Honolulu,Ewa,21.34056,-158.11825,'Entire home/apt',250,7,2,04/03/19,0.1,13,89,Hawaii,,,,,,,,,,
38839516,'GOATHOTE  COOL/MODERN/STYLISH/ 3/1 APT  CHICAGO',244000490,Goathote,?,'Lincoln Square',41.97477,-87.68925,'Entire home/apt',78,1,14,21/08/20,1.18,18,357,Chicago,,,,,,,,,,
24854658,'Luxurious 5BR Near LV Strip,Sleeps 16',91494683,Christine,?,'Unincorporated Areas',36.1019,-115.1358,'Entire home/apt',354,2,106,15/08/20,3.75,2,228,'Clark County',,,,,,,,,
10182906,'1Br Wyndham Grand Desert Resort b2',2995822,'Kathy D',?,'Unincorporated Areas',36.10757,-115.16105,'Entire home/apt',153,2,10,02/01/20,0.18,37,0,'Clark County',,,,,,,,,,
28370394,'Ocean view, Private home, Pool, Indoor-outdoor, Private retreat, Ono Oasis',107293305,'Elite Pacific',Hawaii,'North Kona',19.60704,-155.95687,'Entire home/apt',379,1,3,08/01/20,0.14,181,326,Hawaii,,,,,
33538549,'Waimea House by the Sea',252721742,Michael,Kauai,Waimea-Kekaha,21.95509,-159.67,'Entire home/apt',215,3,17,20/03/20,0.99,1,268,Hawaii,,,,,,,,,,
39417723,'Downtown Luxury Highrise Apt with view of Rockies',9365406,Larissa,?,'Civic Center',39.7305,-104.98929,'Entire home/apt',130,2,4,17/11/19,0.47,1,0,Denver,,,,,,,,,,
27609278,Na,11913583,Jacob,?,'Rocky Fork-Blacklick',40.06025,-82.88241,'Entire home/apt',150,1,1,20/02/19,0.06,1,89,Columbus,,,,,,,,,,
